Server Group,Server Asset,Server Machine,Server IP,Server Process,Wave,Migration Strategy,Business Application
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Service Host,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,FlexNet Manager Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,rapid7_agent_core.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (DefaultAppPool),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Trend Micro Anti-Malware Solution Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MP_MP5),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,rapid7_endpoint_broker.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (Formularios),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MP_InitialDataLoading),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,wsMonitorHealth.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (MONITOR.EXE-3E89BC34),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,InstallerV5.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,wsFutures.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,wsFuturesCore.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MP_Services),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MP_Config),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MP_Alerts),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (WEXEC.EXE-1E4451E5),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MP_Log),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MP_Dashboard),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MP_Security),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,wsWorkFlowTransaction.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,IIS Worker Process (MONITOR),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (VWPROQUEUE.EXE),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (REXEC.EXE-29676764),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (READFILES.EXE-583212DE),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (MPCROM.EXE),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,StartUpVaultPlus,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Trend Micro Cloud Endpoint,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (VWEVENTWRITE.EXE-9588C6D5),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (PROCEDURES.EXE-59A59B5F),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,wsV4toV5Deliver.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plus,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plusr (CHECKFORMS.EXE-16045D5D),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Insight Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Dynatrace,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_V4toV5Delivery),Backlog,Rehost,-
