Hierarchy,,Information,,Observed Storage,,Performance,,
Group Name,Asset,Server Name,Disk,Observed Disk Capacity (GB),Observed Disk Occupancy (GB),Observed Throughput (MBps),Peak IOPS,ID (server name + uid)
Physical Infrastructure,Default,BGR186Q05,C:,75.2,56.1,31.8,1071,v_0h8sbl1L.C:
Physical Infrastructure,Default,BGR186Q05,D:,536.9,185.2,496.2,7794,v_0h8sbl1L.D:
Physical Infrastructure,Default,BGR186Q05,E:,375.8,298.6,539.8,8454,v_0h8sbl1L.E:
Physical Infrastructure,Default,BGR186Q05,Z:,10.7,0.2,9.3,653,v_0h8sbl1L.Z:
Physical Infrastructure,Default,ECBRPRW20,C:,161,87,32.3,1073,v_10HOpMk7.C:
Physical Infrastructure,Default,ECBRPRW20,D:,53.7,5.6,1.2,102,v_10HOpMk7.D:
Physical Infrastructure,Default,ECBRPRAP28,C:,64.3,27.5,19.3,771,v_1FTvlnQU.C:
Physical Infrastructure,Default,ECBRPRAP28,D:,53.7,7.9,0,0,v_1FTvlnQU.D:
Physical Infrastructure,Default,ECBRPRAP28,E:,214.7,0.1,0,0,v_1FTvlnQU.E:
Physical Infrastructure,Default,ECBRPRB01,C:,192,112.2,15,798,v_1tbDCZ9O.C:
Physical Infrastructure,Default,ECBRPRB01,D:,85.8,62.6,24.8,1716,v_1tbDCZ9O.D:
Physical Infrastructure,Default,ECBRPRB01,E:,2418.8,1047.6,21.7,1389,v_1tbDCZ9O.E:
Physical Infrastructure,Default,ECBRPRB01,F:,536.7,12.7,58.3,597,v_1tbDCZ9O.F:
Physical Infrastructure,Default,ECBRPRB01,H:,1099.4,659.7,0,0,v_1tbDCZ9O.H:
Physical Infrastructure,Default,ECBRPRB01,I:,2638.7,1783.9,115.4,14767,v_1tbDCZ9O.I:
Physical Infrastructure,Default,ECBRPRB01,J:,1099.4,453.5,5.6,1440,v_1tbDCZ9O.J:
Physical Infrastructure,Default,ECBRPRB01,K:,107.2,75.7,40.6,232,v_1tbDCZ9O.K:
Physical Infrastructure,Default,ECBRPRB01,M:,1099.4,507.5,115.2,485,v_1tbDCZ9O.M:
Physical Infrastructure,Default,ECBRPRB01,N:,2198.9,1767.6,1976.8,9967,v_1tbDCZ9O.N:
Physical Infrastructure,Default,ECBRPRB01,Q:,1099.4,267.6,72.1,990,v_1tbDCZ9O.Q:
Physical Infrastructure,Default,ECBRPRB01,S:,107.4,39,0,0,v_1tbDCZ9O.S:
Physical Infrastructure,Default,ECBRPRB01,Y:,1429.2,652,370.1,1846,v_1tbDCZ9O.Y:
Physical Infrastructure,Default,ECBRPRB01,Z:,858.9,62.2,0,6,v_1tbDCZ9O.Z:
Physical Infrastructure,Default,ecbrprq58,L:,322.1,3.4,8.8,157,v_214lBYh3.L:
Physical Infrastructure,Default,ecbrprq58,T:,1099.5,620.8,0,0,v_214lBYh3.T:
Physical Infrastructure,Default,ecbrprq58,C:,160.5,68.8,29.2,461,v_214lBYh3.C:
Physical Infrastructure,Default,ecbrprq58,D:,107.4,18.6,140.1,687,v_214lBYh3.D:
Physical Infrastructure,Default,ecbrprq58,E:,107.4,21.7,84.9,439,v_214lBYh3.E:
