Host,Datacenter,Cluster,Device,Type,Status,Bus,Pci,Driver,Model,WWN,VI SDK Server,VI SDK UUID
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,19,0:13:00,smartpqi,HPE E208i-p SR Gen10,,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,19,0:13:00,smartpqi,HPE E208i-p SR Gen10,,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,19,0:13:00,smartpqi,HPE E208i-p SR Gen10,,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,19,0:13:00,smartpqi,HPE E208i-p SR Gen10,,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,19,0:13:00,smartpqi,HPE E208i-p SR Gen10,,172.20.1.174,172.20.1.174
ecbrprsx18.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,19,0:13:00,smartpqi,HPE E208i-p SR Gen10,,172.20.1.174,172.20.1.174
ecbrprsx19.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,19,0:13:00,smartpqi,HPE E208i-p SR Gen10,,172.20.1.174,172.20.1.174
ecbrprsx20.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,15,0000:0f:00.0,nvme_pcie,Marvell NR2241 NVMe Controller,,172.20.1.174,172.20.1.174
ecbrprsx21.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,15,0000:0f:00.0,nvme_pcie,Marvell NR2241 NVMe Controller,,172.20.1.174,172.20.1.174
ecbrprsx22.bgr.com,DCP,Cluster_Quito,vmhba1,,unknown,15,0000:0f:00.0,nvme_pcie,Marvell NR2241 NVMe Controller,,172.20.1.174,172.20.1.174
