Host,Datacenter,Cluster,Network Device,Driver,Speed,Duplex,MAC,Switch,Uplink port,PCI,WakeOn,VI SDK Server,VI SDK UUID
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic0,ntg3,,Link is down!,,vSwitch0,,0:02:00,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic3,ntg3,,Link is down!,,vSwitch2,,0:02:00.300000,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic1,ntg3,,Link is down!,,vSwitch2,,0:02:00.100000,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic10,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-0,0000:b0:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic11,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-1,0000:b0:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic2,ntg3,,Link is down!,,vSwitch3,,0:02:00.200000,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic4,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic6,igbn,,Link is down!,,vSwitch2,,0000:af:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic5,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic9,igbn,,Link is down!,,vSwitch0,,0000:af:00.3,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic7,igbn,,Link is down!,,vSwitch3,,0000:af:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx13.bgr.com,DCP,Cluster_Quito,vmnic8,igbn,,Link is down!,,vSwitch2,,0000:af:00.2,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic7,igbn,,Link is down!,,vSwitch3,,0000:af:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic2,ntg3,,Link is down!,,vSwitch3,,0:02:00.200000,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic11,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-1,0000:b0:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic10,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-0,0000:b0:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic1,ntg3,,Link is down!,,vSwitch2,,0:02:00.100000,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic0,ntg3,,Link is down!,,vSwitch0,,0:02:00,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic3,ntg3,,Link is down!,,vSwitch2,,0:02:00.300000,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic4,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic5,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic6,igbn,,Link is down!,,vSwitch2,,0000:af:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic8,igbn,,Link is down!,,vSwitch2,,0000:af:00.2,False,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,DCP,Cluster_Quito,vmnic9,igbn,,Link is down!,,vSwitch0,,0000:af:00.3,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic4,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic0,ntg3,,Link is down!,,vSwitch0,,0:02:00,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic1,ntg3,,Link is down!,,vSwitch2,,0:02:00.100000,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic9,igbn,,Link is down!,,vSwitch0,,0000:af:00.3,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic11,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-1,0000:b0:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic10,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-0,0000:b0:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic3,ntg3,,Link is down!,,vSwitch2,,0:02:00.300000,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic2,ntg3,,Link is down!,,vSwitch3,,0:02:00.200000,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic6,igbn,,Link is down!,,vSwitch2,,0000:af:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic8,igbn,,Link is down!,,vSwitch2,,0000:af:00.2,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic7,igbn,,Link is down!,,vSwitch3,,0000:af:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,DCP,Cluster_Quito,vmnic5,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic7,igbn,,Link is down!,,vSwitch3,,0000:af:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic5,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic6,igbn,,Link is down!,,vSwitch2,,0000:af:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic3,ntg3,,Link is down!,,vSwitch2,,0:02:00.300000,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic8,igbn,,Link is down!,,vSwitch2,,0000:af:00.2,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic4,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic0,ntg3,,Link is down!,,vSwitch0,,0:02:00,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic11,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-1,0000:b0:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic2,ntg3,,Link is down!,,vSwitch3,,0:02:00.200000,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic1,ntg3,,Link is down!,,vSwitch2,,0:02:00.100000,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic10,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-0,0000:b0:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,DCP,Cluster_Quito,vmnic9,igbn,,Link is down!,,vSwitch0,,0000:af:00.3,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic0,ntg3,,Link is down!,,vSwitch0,,0:02:00,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic1,ntg3,,Link is down!,,vSwitch2,,0:02:00.100000,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic10,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-0,0000:b0:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic9,igbn,,Link is down!,,vSwitch0,,0000:af:00.3,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic11,i40en,,Link is down!,,DCP-Cluster_Quito-vDS-Backups,lag1-Backups-1,0000:b0:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic2,ntg3,,Link is down!,,vSwitch3,,0:02:00.200000,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic3,ntg3,,Link is down!,,vSwitch2,,0:02:00.300000,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic4,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic8,igbn,,Link is down!,,vSwitch2,,0000:af:00.2,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic6,igbn,,Link is down!,,vSwitch2,,0000:af:00.0,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic7,igbn,,Link is down!,,vSwitch3,,0000:af:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,DCP,Cluster_Quito,vmnic5,qfle3,,Link is down!,,vSwitch1,,0000:5d:00.1,False,172.20.1.174,172.20.1.174
ecbrprsx18.bgr.com,DCP,Cluster_Quito,vmnic0,ntg3,,Link is down!,,vSwitch0,,0:02:00,False,172.20.1.174,172.20.1.174
ecbrprsx18.bgr.com,DCP,Cluster_Quito,vmnic3,ntg3,,Link is down!,,vSwitch2,,0:02:00.300000,False,172.20.1.174,172.20.1.174
