VM,Powerstate,Template,SRM Placeholder,Disk Key,Disk,Capacity MiB,Consumed MiB,Free MiB,Free % ,Internal Sort Column,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
bgr186a01,poweredOn,False,False,,Z:\,204797,139,204658,99,bgr186a01 ,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a01,poweredOn,False,False,,H:\,122872,46372,76500,62,bgr186a01 ,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a01,poweredOn,False,False,,L:\,327677,248433,79244,24,bgr186a01 ,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a01,poweredOn,False,False,,E:\,61436,46790,14646,23,bgr186a01 ,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a01,poweredOn,False,False,,F:\,204797,51385,153412,74,bgr186a01 ,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a01,poweredOn,False,False,,C:\,40962,31135,9827,23,bgr186a01 ,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a01,poweredOn,False,False,,D:\,563192,468263,94929,16,bgr186a01 ,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,,G:\,511869,295449,216420,42,bgr186a05clon ,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,,H:\,819070,311837,507233,61,bgr186a05clon ,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,,C:\,34718,30587,4131,11,bgr186a05clon ,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
