VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk Path,Capacity MiB,Raw,Disk Mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
bgr186a05clon,poweredOn,False,False,Hard disk 1,2000,,34722,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,0,noSharing,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/bgr186a05clon.vmdk,,,bgr186a05clon 2000,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,Hard disk 2,2001,,819200,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,1,noSharing,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/bgr186a05clon_2.vmdk,,,bgr186a05clon 2001,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,Hard disk 3,2002,,512000,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,2,noSharing,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/bgr186a05clon_3.vmdk,,,bgr186a05clon 2002,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,Hard disk 4,2003,,179200,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,3,noSharing,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/bgr186a05clon_4.vmdk,,,bgr186a05clon 2003,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,Hard disk 5,2004,,179197,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,4,noSharing,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/bgr186a05clon_1.vmdk,,,bgr186a05clon 2004,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,Hard disk 6,2005,,512000,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,5,noSharing,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/bgr186a05clon_5.vmdk,,,bgr186a05clon 2005,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186pr1,poweredOn,False,False,Hard disk 1,2000,,30733,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,0,noSharing,[DiskLun_Servidores_Test_Nimble_1] bgr186pr1/bgr186pr1.vmdk,,,bgr186pr1 2000,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-3217,423e8011-95b9-9413-500c-a7c87ea00391,,172.20.1.174,172.20.1.174
bgr186pr1,poweredOn,False,False,Hard disk 2,2001,,20489,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic,SCSI controller 0,7,1,noSharing,[DiskLun_Servidores_Test_Nimble_1] bgr186pr1/bgr186pr1_1.vmdk,,,bgr186pr1 2001,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-3217,423e8011-95b9-9413-500c-a7c87ea00391,,172.20.1.174,172.20.1.174
ecbgr012002,poweredOn,False,False,Hard disk 1,2001,,56324,False,persistent,True,False,False,False,normal,1000,0,-1,BusLogic,SCSI controller 0,7,1,noSharing,[DiskLun_Servidores_Test_Nimble_1] ecbgr012002/ecbgr012002.vmdk,,,ecbgr012002 2001,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-3204,423e851b-18ce-525c-cd91-99a419cb4a01,,172.20.1.174,172.20.1.174
ecbrdsq04,poweredOn,False,False,Hard disk 1,2000,C:\,153600,False,persistent,True,False,False,False,normal,1000,0,-1,LSI Logic SAS,SCSI controller 0,7,0,noSharing,[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04.vmdk,,,ecbrdsq04 2000,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-17652,422eae5b-da61-0887-4792-963b102d1437,,172.20.1.174,172.20.1.174
