Name,Message,Message type,VI SDK Server,VI SDK UUID
[DataStore_Aplicacion_1_UIO] ecbrprap15/ecbrprap15.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprlx02/ecbrprlx02.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprlx02/ecbrprlx02.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprsp01-2020-13-09-22h38m28s/ecbrprsp01.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprsp01-2020-13-09-22h38m28s/ecbrprsp01.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprsp01-2020-13-09-22h38m28s/ecbrprsp01_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprsp01-2020-13-09-22h38m28s/ecbrprsp01_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprw75/ecbrprw75_4.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] ecbrprw75/ecbrprw75_6.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] zabbixproxy/zabbixproxy.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] zabbixproxy/zabbixproxy.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] zabbixproxy_1/zabbixproxy.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_1_UIO] zabbixproxy_1/zabbixproxy.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ecbrprsp01/ecbrprsp01.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ECBRPRVM01/ECBRPRVM01_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ecbrprw71/ecbrprw71_7.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ecbrprw71/ecbrprw71_9.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ECBRTSLX08_POC/ECBRTSLX08_POC.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ECBRTSLX08_POC/ECBRTSLX08_POC.vmx,Possibly a Zombie VM! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] ISO/Lumu2/Lumus2-disk1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_Aplicacion_2_UIO] UNIX/OVA_HPE_SSMC_3.8.0.0/HPE_SSMC_Appliance-3.8.0.0.330-disk1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Ent_UIO] ecbrprcl12_BORRAR/ecbrprcl12_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Ent_UIO] ecbrprcl1-2024-23-02-16h40m46s/ecbrprcl1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Ent_UIO] ecbrprq69/ecbrprq69_11.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Ent_UIO] poc_BGR186B01/poc_BGR186B01-000001.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Std_UIO] ecbrprlx07/ecbrprlx07.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Std_UIO] ECBRPRQ71/ECBRPRQ71_8.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DataStore_BDD_Std_UIO] ecbrprq72_1/ecbrprq72_1.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_2.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_3.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_4.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_4-rdm.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_5.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_5-rdm.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_6.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_6-rdm.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04_9.vmdk,Possibly a Zombie vmdk file! Please check.,Zombie,172.20.1.174,172.20.1.174
