VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,# CPU,Memory,NICs,Disks,min Required EVC Mode Key ,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,VMs,VI SDK Server,VI SDK UUID
bgr186a01,poweredOn,False,False,green,BGR186A01.bgr.com,connected,running,green,False,2025-06-10 21:37:02,,2020-06-21 11:36:27,2025-07-07 08:45:29,4,12288,0,7,intel-haswell,normal,,True,172.20.1.27,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,1525776,1455219,1455214,,,,,,False,0,10000,False,False,bios,7,none,never,,[DataStore_BDD_Ent_UIO] bgr186a01/bgr186a01.vmx,[DataStore_BDD_Ent_UIO] bgr186a01/,[DataStore_BDD_Ent_UIO] bgr186a01/,[DataStore_BDD_Ent_UIO] bgr186a01/,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,green,BGR186A05clon.bgr.com,connected,running,green,False,2025-07-07 09:55:58,,2024-12-10 06:50:02,2025-07-07 09:53:59,4,3440,1,6,intel-haswell,normal,,True,172.20.41.254,VM_Test_41,,,,,,,,1.0,,/DCP/Cluster_Test/Resources,/DCP,,True,notConfigured,gray,-1,-1,2239873,1600152,1596598,,,,,,False,0,10000,False,False,bios,19,none,never,,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/bgr186a05clon.vmx,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/,[DiskLun_Servidores_Test_Nimble_TEMP_BGR186A05] bgr186a05clon/,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186d01,poweredOn,False,False,green,bgr186d01.bgr.com,connected,running,green,False,2025-04-17 21:05:44,,2020-02-08 04:46:00,2025-07-04 23:41:31,6,26624,0,3,intel-haswell,normal,True,True,172.20.55.30,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,1711820,994272,994259,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_2_UIO] bgr186d01/bgr186d01.vmx,[DataStore_Aplicacion_2_UIO] bgr186d01/,[DataStore_Aplicacion_2_UIO] bgr186d01/,[DataStore_Aplicacion_2_UIO] bgr186d01/,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-10658,422e56b9-c9db-30b6-b6ed-4699c85e08c9,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186d03,poweredOn,False,False,green,bgr186d03.bgr.com,connected,running,green,False,2025-07-04 17:42:50,,2021-10-01 12:22:56,2025-07-04 17:42:43,5,26624,0,3,intel-haswell,normal,True,True,172.20.55.13,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP/Discovered virtual machine,,True,notConfigured,gray,-1,-1,614412,537067,537054,,,,,,False,10000,10000,False,False,efi,14,none,never,,[DataStore_Aplicacion_1_UIO] poc_bgr186d03/poc_bgr186d03.vmx,[DataStore_Aplicacion_1_UIO] poc_bgr186d03/,[DataStore_Aplicacion_1_UIO] poc_bgr186d03/,[DataStore_Aplicacion_1_UIO] poc_bgr186d03/,,"Tue Jul  8 20:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-4489,422e7bea-aa16-f5fe-d76a-a07e72f4844a,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186h01,poweredOn,False,False,green,bgr186h01.bgr.com,connected,running,green,False,2024-05-11 01:17:57,,2020-04-28 19:29:46,2025-06-18 20:02:29,1,2048,0,2,intel-haswell,normal,,True,169.254.16.21,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,71728,25502,25479,,,,,,False,0,10000,False,False,bios,7,none,never,,[DataStore_Aplicacion_2_UIO] bgr186h01/bgr186h01.vmx,[DataStore_Aplicacion_2_UIO] bgr186h01/,[DataStore_Aplicacion_2_UIO] bgr186h01/,[DataStore_Aplicacion_2_UIO] bgr186h01/,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx18.bgr.com,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-758,564db87b-4f63-a66f-afad-c727c92b7053,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186h02,poweredOn,False,False,green,bgr186h02.bgr.com,connected,running,green,False,2024-05-11 01:18:01,,2020-05-05 22:50:45,2025-07-08 00:53:08,2,2048,0,2,intel-haswell,normal,,True,172.20.40.14,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,71699,25294,25274,,,,,,False,0,10000,False,False,bios,10,none,never,,[DataStore_Aplicacion_2_UIO] bgr186h02/bgr186h02.vmx,[DataStore_Aplicacion_2_UIO] bgr186h02/,[DataStore_Aplicacion_2_UIO] bgr186h02/,[DataStore_Aplicacion_2_UIO] bgr186h02/,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-877,423e6244-7c4a-a335-030b-382b60c888f7,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186pr1,poweredOn,False,False,green,bgr186pr1.bgr.com,connected,running,green,False,2025-07-07 09:59:07,,2022-08-10 04:41:19,2025-07-07 10:03:33,2,2048,1,2,intel-haswell,normal,,True,172.20.41.19,VM_Test_41,,,,,,,,1.0,,/DCP/Cluster_Test/Resources,/DCP/Discovered virtual machine,,True,notConfigured,gray,-1,-1,53356,29317,27184,,,,,,False,0,10000,False,False,bios,9,none,never,,[DiskLun_Servidores_Test_Nimble_1] bgr186pr1/bgr186pr1.vmx,[DiskLun_Servidores_Test_Nimble_1] bgr186pr1/,[DiskLun_Servidores_Test_Nimble_1] bgr186pr1/,[DiskLun_Servidores_Test_Nimble_1] bgr186pr1/,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx06.bgr.com,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-3217,423e8011-95b9-9413-500c-a7c87ea00391,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186q01,poweredOn,False,False,green,bgr186q01.bgr.com,connected,running,green,False,2024-11-26 05:09:32,,2020-11-08 21:21:09,2025-06-21 17:30:24,4,5560,0,3,intel-haswell,normal,,True,172.20.40.25,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,368686,326482,326461,,,,,,False,0,15000,False,False,bios,10,none,never,,[DataStore_BDD_Ent_UIO] bgr186q01/bgr186q01.vmx,[DataStore_BDD_Ent_UIO] bgr186q01/,[DataStore_BDD_Ent_UIO] bgr186q01/,[DataStore_BDD_Ent_UIO] bgr186q01/,,"Sun Jul  6 12:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx13.bgr.com,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 (32-bit),vm-4022,564db67e-90ef-94fa-e21d-1e1c0f830a22,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186q02,poweredOn,False,False,green,bgr186q02.bgr.com,connected,running,green,False,2024-10-09 22:19:53,,2020-11-08 22:31:36,2025-06-22 20:08:22,4,5120,0,4,intel-haswell,normal,,True,172.20.40.26,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,390178,246361,246352,,,,,,False,800,10000,False,False,bios,10,none,never,,[DataStore_BDD_Ent_UIO] bgr186q02/bgr186q02.vmx,[DataStore_BDD_Ent_UIO] bgr186q02/,[DataStore_BDD_Ent_UIO] bgr186q02/,[DataStore_BDD_Ent_UIO] bgr186q02/,,"Sun Jul  6 12:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx14.bgr.com,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 (32-bit),vm-4024,564d9160-42c5-3d45-8d91-a1a5eec8144d,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186q05,poweredOn,False,False,green,BGR186Q05.bgr.com,connected,running,green,False,2024-11-23 23:05:20,,2020-06-18 21:21:45,2025-06-17 19:42:12,6,10240,0,3,intel-haswell,normal,,True,172.20.1.64,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,593944,468396,468375,,,,,,False,10000,10000,False,False,bios,7,none,never,,[DataStore_BDD_Ent_UIO] bgr186q05/bgr186q05.vmx,[DataStore_BDD_Ent_UIO] bgr186q05/,[DataStore_BDD_Ent_UIO] bgr186q05/,[DataStore_BDD_Ent_UIO] bgr186q05/,,"Tue Jul  8 20:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,Microsoft Windows Server 2008 (64-bit),Microsoft Windows Server 2008 (64-bit),vm-3319,564d5a79-d1f0-fec0-35ee-716d7e0f4034,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
