VM,Powerstate,Template,SRM Placeholder,Size MiB,Memory Reservation Locked To Max,Overhead,Max,Consumed,Consumed Overhead,Private,Shared,Swapped,Ballooned,Active,Entitlement,DRS Entitlement,Level,Shares,Reservation,Limit,Hot Add,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
bgr186a01,poweredOn,False,False,12288,False,0,12288,12379,92,12288,0,0,0,737,12701,3982,normal,122880,0,-1,True,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,3440,False,0,3440,3506,66,3440,0,0,0,103,9819,7331,normal,34400,0,-1,False,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186d01,poweredOn,False,False,26624,False,0,26624,26749,128,26622,2,0,0,9318,27068,13128,normal,266240,0,-1,True,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-10658,422e56b9-c9db-30b6-b6ed-4699c85e08c9,,172.20.1.174,172.20.1.174
bgr186d03,poweredOn,False,False,26624,False,0,26624,26745,136,26610,6,0,0,7454,27474,12094,normal,266240,0,-1,True,,"Tue Jul  8 20:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-4489,422e7bea-aa16-f5fe-d76a-a07e72f4844a,,172.20.1.174,172.20.1.174
bgr186h01,poweredOn,False,False,2048,False,0,2048,2085,37,2048,0,0,0,307,2319,1009,normal,20480,0,-1,True,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-758,564db87b-4f63-a66f-afad-c727c92b7053,,172.20.1.174,172.20.1.174
bgr186h02,poweredOn,False,False,2048,False,0,2048,2085,38,2048,0,0,0,409,2326,1047,normal,20480,0,-1,True,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-877,423e6244-7c4a-a335-030b-382b60c888f7,,172.20.1.174,172.20.1.174
bgr186pr1,poweredOn,False,False,2048,False,0,2048,2100,52,2048,0,0,0,307,2517,1167,normal,20480,0,-1,True,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-3217,423e8011-95b9-9413-500c-a7c87ea00391,,172.20.1.174,172.20.1.174
bgr186q01,poweredOn,False,False,5560,False,0,5560,5691,131,5560,0,0,0,556,10836,7082,normal,55600,0,-1,True,,"Sun Jul  6 12:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 (32-bit),vm-4022,564db67e-90ef-94fa-e21d-1e1c0f830a22,,172.20.1.174,172.20.1.174
bgr186q02,poweredOn,False,False,5120,False,0,5120,5174,54,5120,0,0,0,307,5431,1813,normal,51200,0,-1,True,,"Sun Jul  6 12:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 (32-bit),vm-4024,564d9160-42c5-3d45-8d91-a1a5eec8144d,,172.20.1.174,172.20.1.174
bgr186q05,poweredOn,False,False,10240,False,0,10240,10328,89,10240,0,0,0,1228,10654,4125,normal,102400,0,-1,True,,"Tue Jul  8 20:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2008 (64-bit),Microsoft Windows Server 2008 (64-bit),vm-3319,564d5a79-d1f0-fec0-35ee-716d7e0f4034,,172.20.1.174,172.20.1.174
bgr186qv1,poweredOn,False,False,8192,False,0,8192,8257,66,8192,0,0,0,983,8518,3073,normal,81920,0,-1,True,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14329,075eb80c-5df6-4eb5-96a4-3bf3e9b38368,,172.20.1.174,172.20.1.174
bgr186vm1,poweredOn,False,False,2048,False,0,2048,2088,40,2048,0,0,0,962,2328,1464,normal,20480,0,-1,True,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows 2000 Server,Microsoft Windows 2000 Server,vm-880,564dae0c-7dc2-5441-b7fd-a50100de0ae5,,172.20.1.174,172.20.1.174
componentbgr,poweredOn,False,False,18432,False,0,18432,18115,91,18024,38,0,0,3686,18814,7486,normal,184320,0,-1,True,,"Sat Jul  5 00:00:11 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_SinAccelerator",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Other Linux (64-bit),CentOS 7 (64-bit),vm-875,423e1745-cccb-8f58-d615-97393fa89266,,172.20.1.174,172.20.1.174
componentbgr3,poweredOn,False,False,16384,False,0,16384,16373,102,16272,2,0,0,1966,16842,6024,normal,163840,0,-1,False,,"Sat Jul  5 18:00:20 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,CentOS 7 (64-bit),CentOS 7 (64-bit),vm-14053,422ea114-c207-66b5-d3f8-6d80d60f40aa,,172.20.1.174,172.20.1.174
ecbgr012002,poweredOn,False,False,2048,False,0,2048,2101,53,2048,0,0,0,184,2517,1128,normal,20480,0,-1,True,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx05.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-3204,423e851b-18ce-525c-cd91-99a419cb4a01,,172.20.1.174,172.20.1.174
ecbrdsq04,poweredOn,False,False,10240,False,0,10240,10307,72,10236,2,0,0,1331,10942,4259,normal,102400,0,-1,True,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-17652,422eae5b-da61-0887-4792-963b102d1437,,172.20.1.174,172.20.1.174
ecbrlx01,poweredOn,False,False,73728,False,0,73728,73901,310,73592,4,0,0,9584,69938,25742,normal,737280,0,-1,True,,"Sun Jul  6 02:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,CentOS 4/5/6 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-4140,6519eff0-2799-425e-b147-34e66e714e7e,,172.20.1.174,172.20.1.174
ecbrlxav1,poweredOn,False,False,40960,False,0,40960,41134,174,40960,0,0,0,17203,41512,23509,normal,409600,0,-1,True,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-7272,422ef92c-16e8-9214-37c2-bc2bb406d0da,,172.20.1.174,172.20.1.174
ecbrpra03,poweredOn,False,False,12288,False,0,12288,12364,77,12288,0,0,0,2949,12637,6203,normal,122880,0,-1,True,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-4201,422e622c-0b9e-4b6a-9abd-86e8dbd6affc,,172.20.1.174,172.20.1.174
ecbrprap1,poweredOn,False,False,24576,False,0,24576,24690,115,24576,0,0,0,5406,24993,9915,normal,245760,0,-1,True,,"Tue Jul  8 20:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-4831,422e7003-9695-67f6-1b35-47107df074e4,,172.20.1.174,172.20.1.174
ecbrprap10,poweredOn,False,False,20480,False,0,20480,20593,114,20479,1,0,0,4505,20904,9721,normal,204800,0,-1,True,,"Sat Jul  5 08:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14269,2d9e737d-3b66-447b-90ed-ab569cb2d4f9,,172.20.1.174,172.20.1.174
ecbrprap12,poweredOn,False,False,16384,False,0,16384,16474,91,16384,0,0,0,4915,16756,8350,normal,163840,0,-1,True,,"Sat Jul  5 08:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14271,31759c77-4193-46e6-8f4b-0e48725631c2,,172.20.1.174,172.20.1.174
ecbrprap13,poweredOn,False,False,16384,False,0,16384,16474,91,16384,0,0,0,1310,16756,5352,normal,163840,0,-1,True,,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14268,353d7793-c0b6-42da-86ee-dea7ba423ec9,,172.20.1.174,172.20.1.174
ecbrprap14,poweredOn,False,False,16384,False,0,16384,16475,92,16384,0,0,0,1146,16755,5449,normal,163840,0,-1,True,,"Sat Jul  5 08:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14270,6ee25a94-1c44-404c-9819-43249531e584,,172.20.1.174,172.20.1.174
ecbrprap15,poweredOn,False,False,16384,False,0,16384,16483,100,16384,0,0,0,1638,16785,5676,normal,163840,0,-1,True,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-4224,422e094d-68ac-26e5-9fe7-613b63af50bc,,172.20.1.174,172.20.1.174
ecbrprap16,poweredOn,False,False,32768,False,0,32768,32915,149,32766,2,0,0,3276,33260,10992,normal,163840,0,-1,True,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14368,030c7e0c-1043-4071-bb73-6efcab35e6c6,,172.20.1.174,172.20.1.174
