Host,Cluster,Datacenter,Datastore,Disk,Display name,Policy,Oper. State,Path 1,Path 1 state,Path 2,Path 2 state,Path 3,Path 3 state,Path 4,Path 4 state,Path 5,Path 5 state,Path 6,Path 6 state,Path 7,Path 7 state,Path 8,Path 8 state,vStorage,Queue depth,Vendor,Model,Revision,Level,Serial #,UUID,Object ID,VI SDK Server,VI SDK UUID
ecbrprsx13.bgr.com,Cluster_Quito,DCP,datastore-2M2940067H,naa.600508b1001cb86db41566d139fd8e57,Local HPE Disk (naa.600508b1001cb86db41566d139fd8e57),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,144,HPE     ,LOGICAL VOLUME  ,7.11,5,unavailable,0200010000600508b1001cb86db41566d139fd8e574c4f47494341,datastore-31,172.20.1.174,172.20.1.174
ecbrprsx14.bgr.com,Cluster_Quito,DCP,datastore-2M2940067J,naa.600508b1001cba8b60658dcc5b04bf3d,Local HPE Disk (naa.600508b1001cba8b60658dcc5b04bf3d),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,144,HPE     ,LOGICAL VOLUME  ,7.11,5,unavailable,0200010000600508b1001cba8b60658dcc5b04bf3d4c4f47494341,datastore-466,172.20.1.174,172.20.1.174
ecbrprsx15.bgr.com,Cluster_Quito,DCP,datastore-2M2940067K,naa.600508b1001cb04327dd59009dc8ccc6,Local HPE Disk (naa.600508b1001cb04327dd59009dc8ccc6),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,144,HPE     ,LOGICAL VOLUME  ,7.11,5,unavailable,0200010000600508b1001cb04327dd59009dc8ccc64c4f47494341,datastore-24130,172.20.1.174,172.20.1.174
ecbrprsx16.bgr.com,Cluster_Quito,DCP,datastore-2M2940067M,naa.600508b1001c9665d54ee86bbb8da298,Local HPE Disk (naa.600508b1001c9665d54ee86bbb8da298),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,144,HPE     ,LOGICAL VOLUME  ,7.11,5,unavailable,0200010000600508b1001c9665d54ee86bbb8da2984c4f47494341,datastore-43,172.20.1.174,172.20.1.174
ecbrprsx17.bgr.com,Cluster_Quito,DCP,datastore-2M2940067N,naa.600508b1001c9111053cfc3fa703c500,Local HPE Disk (naa.600508b1001c9111053cfc3fa703c500),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,144,HPE     ,LOGICAL VOLUME  ,7.11,5,unavailable,0200010000600508b1001c9111053cfc3fa703c5004c4f47494341,datastore-46,172.20.1.174,172.20.1.174
ecbrprsx18.bgr.com,Cluster_Quito,DCP,datastore-2M2940067L,naa.600508b1001cf2666e3af1e7ce9d9f5e,Local HPE Disk (naa.600508b1001cf2666e3af1e7ce9d9f5e),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,144,HPE     ,LOGICAL VOLUME  ,7.11,5,unavailable,0200010000600508b1001cf2666e3af1e7ce9d9f5e4c4f47494341,datastore-49,172.20.1.174,172.20.1.174
ecbrprsx19.bgr.com,Cluster_Quito,DCP,datastore-2M223900ZK,naa.600508b1001c6f3e45457c4c43049d19,Local HPE Disk (naa.600508b1001c6f3e45457c4c43049d19),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,144,HPE     ,LOGICAL VOLUME  ,7.11,5,unavailable,0200010000600508b1001c6f3e45457c4c43049d194c4f47494341,datastore-7345,172.20.1.174,172.20.1.174
ecbrprsx20.bgr.com,Cluster_Quito,DCP,datastore-2M2D0Q035D,t10.NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01000003D1435000,Local NVMe Disk (t10.NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01000003D1435000),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,2046,NVMe,HPE NS204i-p Gen10+ Boot Controller,12141018.0,0,NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01000003D1435000,0560827d4fac228af1df155a6bfd6a722e40bbf43d03ed72163e37cbf7cb449dfc,datastore-13312,172.20.1.174,172.20.1.174
ecbrprsx21.bgr.com,Cluster_Quito,DCP,datastore-2M2D1M01FN,t10.NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01006ABF10435000,Local NVMe Disk (t10.NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01006ABF10435000),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,2046,NVMe,HPE NS204i-p Gen10+ Boot Controller,12141018.0,0,NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01006ABF10435000,0567fdc24fb3a0be6f4245cb2235fff6b52a87072e6196b67c6472b69d12bb058e,datastore-30627,172.20.1.174,172.20.1.174
ecbrprsx22.bgr.com,Cluster_Quito,DCP,datastore-2M2D1M01FP,t10.NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01002C4FA7435000,Local NVMe Disk (t10.NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01002C4FA7435000),FIXED,ok,vmhba1,active,,,,,,,,,,,,,,,vStorageUnsupported,2046,NVMe,HPE NS204i-p Gen10+ Boot Controller,12141018.0,0,NVMe____HPE_NS204i2Dp_Gen102B_Boot_Controller_____01002C4FA7435000,052e5d3121d9d3b0946966312c30f2056e4d70bb9f16de34d6de4254be59374e1a,datastore-30633,172.20.1.174,172.20.1.174
