VM,Powerstate,Template,SRM Placeholder,VM Version,Tools,Tools Version,Required Version,Upgradeable,Upgrade Policy,Sync time,App status,Heartbeat status,Kernel Crash state,Operation Ready,State change support,Interactive Guest,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VMRef,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
bgr186a01,poweredOn,False,False,7,toolsOk,10252,12448,Yes,manual,False,none,appStatusGray,False,True,True,True,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2003 (64-bit),Microsoft Windows Server 2003 (64-bit),285,vm-3577,564d0646-67de-3305-e882-5ece349e7958,,172.20.1.174,172.20.1.174
bgr186a05clon,poweredOn,False,False,19,toolsOld,7302,12288,Yes,manual,True,none,appStatusGray,False,True,True,False,"Servidor migrado de físico a virtual, no encender sin previa confirmación de DLL.",,DCP,Cluster_Test,ecbrtssx04.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),23,vm-35602,422e247c-a602-2763-dcc0-24efbc475354,,172.20.1.174,172.20.1.174
bgr186d01,poweredOn,False,False,8,toolsOld,11297,12448,Yes,manual,False,none,appStatusGray,False,True,True,False,,"Tue Jul  8 20:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx16.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),260,vm-10658,422e56b9-c9db-30b6-b6ed-4699c85e08c9,,172.20.1.174,172.20.1.174
bgr186d03,poweredOn,False,False,14,toolsOld,11333,12448,Yes,manual,False,none,appStatusGray,False,True,True,False,,"Tue Jul  8 20:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),360,vm-4489,422e7bea-aa16-f5fe-d76a-a07e72f4844a,,172.20.1.174,172.20.1.174
bgr186h01,poweredOn,False,False,7,toolsOld,9359,12448,Yes,manual,False,none,appStatusGray,False,True,True,True,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),26,vm-758,564db87b-4f63-a66f-afad-c727c92b7053,,172.20.1.174,172.20.1.174
bgr186h02,poweredOn,False,False,10,toolsOld,9359,12448,Yes,manual,False,none,appStatusGray,False,True,True,True,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 Standard (32-bit),85,vm-877,423e6244-7c4a-a335-030b-382b60c888f7,,172.20.1.174,172.20.1.174
bgr186pr1,poweredOn,False,False,9,toolsOld,9226,12288,Yes,manual,False,none,appStatusGray,False,True,True,False,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx06.bgr.com,/DCP/Discovered virtual machine,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),359,vm-3217,423e8011-95b9-9413-500c-a7c87ea00391,,172.20.1.174,172.20.1.174
bgr186q01,poweredOn,False,False,10,toolsOld,9359,12448,Yes,manual,False,none,appStatusGray,False,True,True,True,,"Sun Jul  6 12:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 (32-bit),101,vm-4022,564db67e-90ef-94fa-e21d-1e1c0f830a22,,172.20.1.174,172.20.1.174
bgr186q02,poweredOn,False,False,10,toolsOld,9359,12448,Yes,manual,False,none,appStatusGray,False,True,True,False,,"Sun Jul  6 12:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_BDD_Ent_noCL",DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2003 (32-bit),Microsoft Windows Server 2003 (32-bit),201,vm-4024,564d9160-42c5-3d45-8d91-a1a5eec8144d,,172.20.1.174,172.20.1.174
bgr186q05,poweredOn,False,False,7,toolsOld,10305,12448,Yes,manual,False,none,appStatusGray,False,True,True,False,,"Tue Jul  8 20:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2008 (64-bit),Microsoft Windows Server 2008 (64-bit),31,vm-3319,564d5a79-d1f0-fec0-35ee-716d7e0f4034,,172.20.1.174,172.20.1.174
bgr186qv1,poweredOn,False,False,8,toolsOld,10341,12448,Yes,manual,False,none,appStatusGray,False,True,True,False,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),317,vm-14329,075eb80c-5df6-4eb5-96a4-3bf3e9b38368,,172.20.1.174,172.20.1.174
bgr186vm1,poweredOn,False,False,7,toolsOld,8196,12448,Yes,manual,False,none,appStatusGray,False,True,True,True,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows 2000 Server,Microsoft Windows 2000 Server,173,vm-880,564dae0c-7dc2-5441-b7fd-a50100de0ae5,,172.20.1.174,172.20.1.174
componentbgr,poweredOn,False,False,4,toolsOk,2147483647,12448,No,manual,False,none,appStatusGray,False,True,True,False,,"Sat Jul  5 00:00:11 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_SinAccelerator",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Other Linux (64-bit),CentOS 7 (64-bit),236,vm-875,423e1745-cccb-8f58-d615-97393fa89266,,172.20.1.174,172.20.1.174
componentbgr3,poweredOn,False,False,19,toolsOk,11269,12448,No,manual,False,none,appStatusGray,False,True,True,False,,"Sat Jul  5 18:00:20 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,CentOS 7 (64-bit),CentOS 7 (64-bit),234,vm-14053,422ea114-c207-66b5-d3f8-6d80d60f40aa,,172.20.1.174,172.20.1.174
